time_period,currency,exr_eur
2023-02-09,AUD,1.5409
2023-02-10,AUD,1.5432
2023-02-09,BGN,1.9558
2023-02-10,BGN,1.9558
2023-02-09,BRL,5.6165
2023-02-10,BRL,5.6245
2023-02-09,CAD,1.4423
2023-02-10,CAD,1.4364
2023-02-09,CHF,0.989
2023-02-10,CHF,0.9872
2023-02-09,CNY,7.2992
2023-02-10,CNY,7.2837
2023-02-10,CZK,23.692
2023-02-09,CZK,23.698
2023-02-09,DKK,7.4419
2023-02-10,DKK,7.4445
2023-02-09,GBP,0.88515
2023-02-10,GBP,0.88348
2023-02-09,HKD,8.4551
2023-02-10,HKD,8.3916
2023-02-09,HUF,385.8
2023-02-10,HUF,389.78
2023-02-09,IDR,16279.95
2023-02-10,IDR,16233.33
2023-02-09,ILS,3.7576
2023-02-10,ILS,3.782
2023-02-09,INR,88.8905
2023-02-10,INR,88.2475
2023-02-10,ISK,152.1
2023-02-09,ISK,151.1
2023-02-09,JPY,140.8
2023-02-10,JPY,139.88
2023-02-09,KRW,1355.38
2023-02-10,KRW,1354.1
2023-02-09,MXN,20.3293
2023-02-10,MXN,20.054
2023-02-09,MYR,4.6488
2023-02-10,MYR,4.6314
2023-02-09,NOK,10.9123
2023-02-10,NOK,10.871
2023-02-09,NZD,1.6906
2023-02-10,NZD,1.6904
2023-02-10,PHP,58.207
2023-02-09,PHP,58.659
2023-02-10,PLN,4.781
2023-02-09,PLN,4.7388
2023-02-09,RON,4.8935
2023-02-10,RON,4.902
2023-02-09,SEK,11.139
2023-02-10,SEK,11.163
2023-02-09,SGD,1.4237
2023-02-10,SGD,1.4199
2023-02-09,THB,36.013
2023-02-10,THB,36.057
2023-02-09,TRY,20.2844
2023-02-10,TRY,20.1357
2023-02-09,USD,1.0771
2023-02-10,USD,1.069
2023-02-09,ZAR,19.0134
2023-02-10,ZAR,19.0834
